µPMU location,PSL-Alameda,
µPMU latitude,44.47915,
µPMU longitude,-73.19798,
sample interval (msec),date stamp,time stamp,status,L1-E voltage RMS fundamental magnitude,L1-E voltage fundamental angle,L2-E voltage RMS fundamental magnitude,L2-E voltage fundamental angle,L3-E voltage RMS fundamental magnitude,L3-E voltage fundamental angle,L1 current RMS fundamental magnitude,L1 current fundamental angle,L2 current RMS fundamental magnitude,L2 current fundamental angle,L3 current RMS fundamental magnitude,L3 current fundamental angle,center frequency offset,disciplined vs GPS pps difference,ppl state,pps prd,gps alt,gps hasfix,gps hdop,gps lat,gps lon,gps satellites,gps state,fundamental W total,fundamental VAR total,fundamental VA total,fundamental dPF total,frequency one second L1-E,frequency C37 L1-E,
8.333333,2023/10/5,19:0:0.1333333,34,121.415,321.1979,0.112634,0.7456787,0.07175707,43.46684,0.0001182363,54.54832,2.073483E-05,28.63905,3.898039E-14,303.9543,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.000836913,-0.01433222,0.014358,-0.05828897,60.0284,60.01629,
8.333333,2023/10/5,19:0:0.1416667,34,121.5751,321.2982,0.09349613,7.738012,0.07171324,42.90337,0.0001181654,51.60289,1.886399E-05,24.70872,2.452448E-14,123.842,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-7.469279E-05,-0.01436628,0.01436774,-0.005198648,60.02842,60.0261,
8.333333,2023/10/5,19:0:0.1500000,34,121.4994,321.4924,0.08523763,5.963204,0.06856593,44.42413,0.00011598,54.13173,2.441892E-05,33.99674,1.521225E-14,303.6341,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0006470464,-0.01407753,0.01409358,-0.04591072,60.02869,60.05022,
8.333333,2023/10/5,19:0:0.1583333,34,121.4825,321.5326,0.0847586,8.748665,0.06674236,46.956,0.0001267325,55.92047,1.765123E-05,19.12267,8.875201E-15,123.6152,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.001176423,-0.01535093,0.01539728,-0.07640455,60.02851,60.0308,
8.333333,2023/10/5,19:0:0.1666667,34,121.4964,321.6338,0.08458581,5.551109,0.06854895,42.91571,0.0001109448,53.65666,1.503816E-05,22.10667,3.803767E-15,303.5139,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.000474586,-0.01347135,0.01348066,-0.03520495,60.02878,60.03072,
8.333333,2023/10/5,19:0:0.1750000,34,121.46,321.67,0.09676402,0.06418769,0.06830195,42.20457,0.0001185105,54.41866,1.521264E-05,27.56299,6.177572E-16,118.1405,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0006889681,-0.0143784,0.01439576,-0.04785911,60.02861,60.0187,
8.333333,2023/10/5,19:0:0.1833333,34,121.5652,321.76,0.084706,6.752469,0.07116094,47.99646,0.0001152017,54.74416,1.133122E-05,27.34639,1.008532E-15,118.0171,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0007281827,-0.01398586,0.01400548,-0.05199271,60.02849,60.02499,
8.333333,2023/10/5,19:0:0.1916667,34,121.5597,321.8652,0.08733027,8.910216,0.06793043,45.56238,0.0001162064,52.44326,1.158826E-05,23.99159,3.984983E-15,301.2506,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0001415471,-0.01412557,0.01412704,-0.01001959,60.02865,60.03124,
8.333333,2023/10/5,19:0:0.2000000,34,121.5381,321.9148,0.0930328,5.602114,0.06745771,46.89599,0.0001113535,52.30496,1.186666E-05,27.21928,8.781716E-15,122.8435,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-9.112616E-05,-0.01353379,0.0135348,-0.006732733,60.02836,60.02345,
8.333333,2023/10/5,19:0:0.2083333,34,121.6205,322.0326,0.09026394,9.142445,0.0672084,46.59616,0.0001226837,54.1058,1.433805E-05,29.54083,1.396201E-14,301.5751,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0005385628,-0.01491154,0.01492215,-0.03609151,60.02854,60.03203,
8.333333,2023/10/5,19:0:0.2166667,34,121.6105,322.1628,0.07719991,10.69931,0.07246134,48.63842,0.0001106465,53.1507,1.456205E-05,21.16886,2.035495E-14,118.1225,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002308924,-0.01345398,0.0134569,-0.01715793,60.02856,60.03947,
8.333333,2023/10/5,19:0:0.2250000,34,121.5725,322.244,0.08359928,8.704685,0.06567259,48.39155,0.000124232,52.60173,1.550141E-05,28.38614,3.549356E-14,290.662,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-9.306813E-05,-0.01510333,0.01510448,-0.006161622,60.02868,60.0332,
